Points:0,Points:1,Points:2,U:0,U:1,U:2
8.419012,4.481883,0.025,-0.078177,0.269511,1.8274500000000002e-17
7.979701,5.517847,0.025,0.0927729,0.574872,-1.05263e-17
4.442944,2.949138,0.025,0.444098,3.53756,1.1188900000000001e-18
2.713653,0.8742656,0.025,0.374343,0.103675,-1.5449100000000002e-17
0.7115944,1.549468,0.025,1.49242,0.570651,-4.5513900000000006e-18
2.383961,3.798154,0.025,-1.01231,0.183274,-3.82936e-18
1.730997,5.012076,0.025,0.28997,0.527138,-2.3385600000000006e-17
0.7958836,3.680679,0.025,0.435573,0.0559068,-3.1391300000000003e-17
6.158617,2.337835,0.025,1.1666,0.695049,-4.24915e-18
5.360635,3.243933,0.025,-0.725198,0.3002,5.11307e-18
7.173535,3.577012,0.025,0.454199,-0.248118,-2.6165100000000006e-17
5.858417,0.7344963,0.025,-0.668775,1.39911,1.40624e-17
9.162918,0.199279,0.025,1.27272,0.153036,2.6416300000000002e-18
4.145916,1.460601,0.025,0.559469,0.124329,3.647040000000001e-17
6.281726,5.19398,0.025,-0.257149,-0.362536,2.49112e-18
0.2350809,3.415336,0.025,-0.112666,0.497527,3.5633e-17
0.1391875,5.244441,0.025,0.0207618,-0.824224,1.99408e-18
0.5439447,2.351151,0.025,-0.746768,-0.0582246,-5.7615e-17
7.468102,4.67702,0.025,0.166635,0.535673,-1.6762600000000002e-18
0.02714982,2.443034,0.025,-0.0221597,-0.00202848,1.47774e-15
1.079779,0.9146917,0.025,0.467047,0.660749,-4.41046e-18
6.925815,0.5487459,0.025,-2.28326,-2.41625,2.9850900000000003e-18
2.378227,1.917873,0.025,1.63344,0.453991,-1.4788100000000002e-17
9.878633,4.176621,0.025,-0.123521,-0.581123,1.9346800000000002e-17
4.164392,5.626063,0.025,0.903208,-0.0036303,2.7221200000000002e-18
7.389873,3.244444,0.025,0.732799,-0.142893,-1.69825e-17
4.61295,3.538677,0.025,2.58776,2.44482,-3.8293e-18
8.818915,2.083796,0.025,-0.379322,-0.0531243,-8.256830000000001e-18
1.547928,3.193486,0.025,-0.179155,-0.39025,1.3495300000000002e-18
3.139745,5.310624,0.025,0.40255,0.353096,-1.1583e-17
3.959604,2.971764,0.025,0.974491,2.52616,9.55602e-18
7.311108,4.241112,0.025,0.31857,0.329203,-2.6870800000000007e-17
4.978992,3.325101,0.025,-0.207791,0.154855,-7.31587e-18
8.765319,1.336115,0.025,-0.0384209,-0.105708,-5.52322e-18
0.8380795,5.212832,0.025,0.0921969,-0.133706,1.33525e-17
5.444404,3.965106,0.025,4.05737,-0.0351623,2.57162e-18
3.420123,0.4946698,0.025,-0.35267,-0.130351,2.3562800000000002e-17
1.917603,3.133376,0.025,0.736829,-0.296204,1.24179e-17
8.704196,5.460939,0.025,0.602372,0.154333,-1.2805100000000001e-17
6.109059,5.329843,0.025,-0.324244,-0.417673,-5.39266e-18
4.121958,2.948336,0.025,1.12376,3.09813,3.0838e-18
1.809109,5.213496,0.025,0.154077,0.610073,-3.85683e-17
5.863763,0.03321047,0.025,-1.09199,-0.0423451,1.13455e-19
8.691634,0.2506657,0.025,1.23274,0.0359576,4.788689999999999e-19
8.168406,5.572227,0.025,0.307734,0.429159,-1.09654e-17
4.086472,3.969367,0.025,-1.70603,0.149419,-7.09462e-17
1.99482,3.968564,0.025,-0.88094,-0.970903,-2.35224e-17
6.908306,5.247762,0.025,-0.340927,-0.0293791,-2.8807800000000002e-18
6.562664,4.977005,0.025,-0.117826,-0.220861,9.327610000000001e-18
4.453692,5.854262,0.025,1.35159,-0.297265,1.1268800000000001e-17
8.52188,2.067143,0.025,-0.333181,-0.28789,-6.740280000000001e-18
0.02779021,1.200222,0.025,2.00049,0.00761108,5.2362e-18
0.8942897,1.966085,0.025,0.383661,0.486554,-2.0742700000000006e-17
0.02739027,5.089088,0.025,0.0389902,-0.727185,-3.9302300000000004e-17
1.554406,0.9245097,0.025,1.05586,1.2904,1.3070800000000001e-17
1.375864,1.687923,0.025,1.30523,0.903436,-6.268390000000001e-18
8.121208,4.456098,0.025,0.199547,0.638699,-5.579570000000001e-18
8.078162,5.967479,0.025,0.0157022,0.04454,1.81355e-16
4.139338,2.175919,0.025,0.851567,1.23452,-6.3019e-18
9.170412,3.61109,0.025,-0.642762,-0.0668438,2.25437e-17
5.618198,2.841943,0.025,-0.159242,0.173922,-1.4752e-17
6.677064,3.922376,0.025,0.621138,-0.350467,3.4157700000000004e-18
5.531832,3.515747,0.025,1.78094,-0.0643155,-4.661469999999999e-19
5.825341,0.05785759,0.025,-1.25415,0.114956,1.39043e-17
4.152096,3.286921,0.025,1.23685,3.17883,1.52119e-17
2.739885,0.4483746,0.025,-0.467076,-0.00335209,2.1006300000000002e-17
2.84109,2.05899,0.025,1.78245,0.298349,9.858530000000001e-18
6.206412,0.9969481,0.025,-0.877732,0.447211,1.16874e-17
2.3349,2.284132,0.025,1.34771,0.214188,-1.2870900000000001e-18
9.837433,5.96516,0.025,-0.0567234,-0.00219113,-2.56697e-16
7.895662,0.5464241,0.025,0.103206,-0.616663,-1.0434600000000001e-18
8.655721,2.398399,0.025,-0.571331,-0.136284,-1.20586e-17
0.02872298,2.077343,0.025,-0.0294042,-0.826584,-3.03321e-17
8.549219,1.335808,0.025,-0.0674556,-0.278736,1.08069e-17
7.069695,3.71041,0.025,0.398349,-0.253266,-1.58976e-18
8.900002,0.285182,0.025,1.14181,0.0675179,2.6063200000000004e-18
4.853996,5.195369,0.025,-0.0854553,-1.32641,1.5348100000000002e-17
1.671179,1.516287,0.025,1.39882,0.909363,5.26604e-18
9.16924,4.267863,0.025,-0.355491,-0.237196,7.655840000000001e-18
1.203788,5.490389,0.025,-0.281452,0.0605088,5.0796800000000005e-18
8.494855,2.113912,0.025,-0.352634,-0.304461,-1.57895e-17
0.8171184,1.276492,0.025,1.50078,0.473495,1.1905000000000001e-17
4.474405,2.484761,0.025,-1.58312,1.58444,2.5190000000000002e-18
9.161877,5.704898,0.025,0.56486,-0.0602107,6.0336400000000005e-18
1.317979,1.291435,0.025,1.18104,0.878487,2.0082300000000006e-17
3.576456,3.470949,0.025,0.27029,0.0746723,-2.8471e-18
3.602802,1.798583,0.025,1.48178,0.499799,-1.8482900000000002e-17
6.154145,0.06889337,0.025,-2.19881,-1.3905,-1.0382300000000002e-18
2.958174,3.06443,0.025,1.28176,0.0347602,2.21845e-17
8.46518,2.696012,0.025,-0.862237,-0.213919,-1.3994900000000002e-17
0.6090254,3.735215,0.025,0.506463,0.16755,-1.3105500000000003e-17
6.872507,0.3652604,0.025,-2.50294,-2.12929,-5.470739999999999e-19
5.599556,5.137372,0.025,-0.0794202,-0.532224,-3.90349e-18
3.603293,2.378093,0.025,2.47929,1.1197,-1.65187e-17
0.784985,5.214597,0.025,0.0897219,-0.164486,-5.254630000000001e-17
9.306684,1.804186,0.025,-0.250383,0.446181,-4.001290000000001e-18
2.154744,5.84743,0.025,-0.340311,0.209914,2.84773e-17
7.739517,2.551327,0.025,0.120505,-0.688281,-9.44049e-18
6.9542,5.057785,0.025,-0.25267,-0.0810465,5.82981e-18
4.429009,2.772346,0.025,0.299988,2.92945,-5.126880000000001e-19
2.549033,0.4009331,0.025,-0.509359,0.0524787,-6.0282700000000005e-18
6.179972,0.7340118,0.025,-1.22249,0.207288,-3.86011e-17
2.740624,0.6995311,0.025,-0.0250588,0.0366154,9.620370000000001e-18
7.218217,2.19632,0.025,0.955163,-2.58287,1.9209e-18
9.298252,4.20623,0.025,-0.359464,-0.325912,-4.492050000000001e-18
5.774993,1.649842,0.025,0.0617042,2.46872,-3.34643e-18
1.623541,4.73317,0.025,0.64967,0.291464,-1.2892100000000001e-17
4.214038,4.704563,0.025,-1.27511,-0.129086,-3.7377300000000005e-18
0.112588,1.743543,0.025,0.0893203,-0.673425,-7.66191e-18
0.273179,4.825391,0.025,0.41787,-0.51547,-3.24635e-17
4.747387,5.444473,0.025,0.258661,-1.09333,9.17526e-18
4.269421,5.474489,0.025,0.479447,-0.214875,-3.21386e-18
2.949076,1.96459,0.025,1.81568,0.330396,-1.46168e-17
1.719647,5.632225,0.025,-0.3151,0.264205,-2.22469e-17
2.768356,4.100697,0.025,-0.501784,-0.130528,-6.51963e-18
6.081692,2.578747,0.025,1.40922,0.883222,1.0255100000000002e-18
9.605127,2.541928,0.025,-0.814046,0.86275,1.32461e-17
1.400525,5.25789,0.025,0.0204175,0.182057,6.619150000000001e-18
7.939276,0.7289615,0.025,-0.124458,-0.725332,2.7273700000000002e-18
7.895513,0.3585905,0.025,0.571701,-0.408859,2.6615900000000004e-18
2.216447,1.730374,0.025,1.62369,0.606119,3.78839e-18
3.79915,0.588494,0.025,-0.194526,-0.146137,-2.2918400000000006e-17
4.858263,5.932262,0.025,-0.101421,-0.0488733,-4.1749400000000004e-17
2.336195,1.287881,0.025,1.48095,0.603051,1.00699e-17
4.033931,5.670482,0.025,1.10101,0.187668,-4.99909e-18
3.960986,0.4629249,0.025,-0.283923,-0.127938,-4.32414e-17
9.414594,5.86609,0.025,0.515725,-0.0968643,-2.13913e-18
2.491705,2.010653,0.025,1.64377,0.373145,-8.556190000000001e-18
7.176147,3.735876,0.025,0.27342,-0.10155,3.35459e-17
9.875228,2.13373,0.025,-0.3406,1.17347,-9.3132e-18
6.420126,0.5025992,0.025,-2.02115,-0.985779,1.64671e-17
6.128139,0.3639276,0.025,-1.66747,-0.351796,-7.97547e-19
2.057376,4.10042,0.025,-0.393875,0.158579,9.19157e-17
3.189711,4.515691,0.025,-0.63465,0.0427932,-1.7494600000000002e-17
8.860212,2.935943,0.025,-0.995296,0.021705,1.7248900000000002e-18
3.718133,0.8236424,0.025,0.080976,-0.148679,8.512230000000001e-18
8.230559,3.725605,0.025,-0.561614,0.0913385,9.479369999999998e-19
4.579903,1.05598,0.025,0.115431,-0.214696,4.83353e-19
5.393804,3.756846,0.025,4.10921,-0.0453752,2.2102000000000003e-19
4.006883,5.292093,0.025,0.124725,0.00754836,-6.7187300000000005e-19
7.926417,2.814511,0.025,-0.378379,-0.184773,-2.1539000000000002e-17
7.732371,4.267273,0.025,0.663697,1.51052,-3.4464799999999995e-19
3.686502,5.197999,0.025,-0.0314102,0.163366,2.1361700000000002e-18
0.1757124,2.378512,0.025,-0.440615,-0.328091,-3.22744e-17
2.142638,2.212927,0.025,1.23123,0.320299,-8.66663e-18
